"SITECODE","LCODE","SDATE","SHOUR","SMINS","RECORDER","RECCODE","TEMP","SUNPERC","WSPEEDB","WEEK"
"T05","01",22-JUL-94,11,35,"KT","1",23,70,3,17
"T04","02",22-JUL-94,14,30,"IHF","1",20,100,2,17
"T08","01",25-JUL-94,11,15,"CAW","2",25,100,1,17
"T04","01",27-JUL-94,13,0,"DJA","5",19.5,100,3,17
"T03","01",27-JUL-94,12,0,"RA","1",22,100,2,17
"T10","01",27-JUL-94,14,20,"CB","1",25,10,1,17
"T02","02",28-JUL-94,,,"","",,,,17
"T02","01",28-JUL-94,15,40,"SW","2",19.5,100,4,17
"T06","01",29-JUL-94,11,50,"JEB","4",29,100,1,18
"T01","01",29-JUL-94,13,15,"SJC","1",23.5,60,3,18
"T05","01",29-JUL-94,10,45,"KT","1",22,100,2,18
"T09","01",29-JUL-94,12,30,"HT","1",25,100,2,18
"T04","02",29-JUL-94,13,0,"IHF","1",20.5,100,2,18
"T04","01",30-JUL-94,12,0,"DM","6",21,100,4,18
"T02","02",01-AUG-94,,,"","",,,,18
"T02","01",01-AUG-94,14,20,"SW","2",19,70,3,18
"T03","01",03-AUG-94,12,0,"HDN","2",21,90,3,18
"T08","01",04-AUG-94,11,15,"MDM","1",20,0,2,18
"T10","01",04-AUG-94,14,0,"CB","1",21,0,1,18
"T05","01",05-AUG-94,11,20,"KT","1",21,100,4,19
"T09","01",05-AUG-94,13,50,"HT","1",24,100,1,19
"T01","01",07-AUG-94,14,45,"SJC","1",21.5,50,4,19
"T02","01",08-AUG-94,13,0,"SW","2",17.7,60,3,19
"T06","01",08-AUG-94,14,45,"JEB","4",33,100,3,19
"T04","02",08-AUG-94,15,0,"IHF","1",19,50,2,19
"T02","02",08-AUG-94,,,"","",,,,19
"T08","01",08-AUG-94,11,30,"CAW","2",22,90,3,19
"T03","01",10-AUG-94,12,15,"RA","1",17,100,4,19
"T09","01",13-AUG-94,12,50,"HT","1",22,70,3,20
"T04","02",14-AUG-94,14,0,"IHF","1",15,50,2,20
"T03","01",15-AUG-94,13,50,"HDN","2",21,100,2,20
"T01","01",15-AUG-94,13,30,"SJC","1",21,100,1,20
