unique_id,reported_taxa,corrected_taxa
9,017.001.029,Asplenium scolopendrium
9,017.001.021,Asplenium seelosii
9,017.001.020,Asplenium septentrionale
9,017.001.999,Asplenium sp.
9,017.001.005,Asplenium trichomanes
9,017.001.009,Asplenium trichomanes-ramosum
9,311.001.001,Aulacomnium androgynum
9,311.001.002,Aulacomnium palustre
9,311.001.999,Aulacomnium sp.
9,311.001.003,Aulacomnium turgidum
9,312.001.002,Asterella gracilis
9,312.001.003,Asterella lindenbergiana
9,312.001.004,Asterella saccata
9,312.001.999,Asterella sp.
9,312.002.001,Mannia androgyna
9,312.002.002,Mannia fragrans
9,312.002.003,Mannia pilosa
9,312.002.999,Mannia sp.
9,312.002.005,Mannia triandra
9,312.004.001,Reboulia hemisphaerica
9,025.001.001,Azolla filiculoides
9,025.001.002,Azolla mexicana
9,025.001.999,Azolla sp.
9,046.001.001,Cynomorium coccineum
9,098.001.005,Impatiens balfourii
9,098.001.006,Impatiens balsamina
9,098.001.002,Impatiens capensis
9,098.001.004,Impatiens glandulifera
9,098.001.001,Impatiens noli-tangere
9,098.001.003,Impatiens parviflora
9,098.001.999,Impatiens sp.
9,313.002.001,Bartramia halleriana
9,313.002.002,Bartramia ithyphylla
9,313.002.003,Bartramia pomiformis
9,313.002.999,Bartramia sp.
9,313.002.004,Bartramia stricta
9,313.002.005,Bartramia subulata
9,313.003.001,Breutelia chrysocoma
9,313.004.001,Conostomum tetragonum
9,313.005.001,Philonotis caespitosa
9,313.005.002,Philonotis calcarea
9,313.005.003,Philonotis capillaris
9,313.005.005,Philonotis fontana
9,313.005.007,Philonotis marchica
9,313.005.009,Philonotis seriata
9,313.005.999,Philonotis sp.
9,313.005.010,Philonotis tomentella
9,313.006.001,Plagiopus oederi
9,056.001.001,Boussingaultia cordifolia
9,063.005.002,Berberis cretica
9,063.005.999,Berberis sp.
9,063.005.001,Berberis vulgaris
9,063.003.001,Bongardia chrysogonum
9,063.004.001,Epimedium alpinum
9,063.004.002,Epimedium pubigerum
9,063.004.999,Epimedium sp.
9,063.002.001,Gymnospermium altaicum
9,063.001.001,Leontice leontopetalum
9,063.006.001,Mahonia aquifolium
9,034.002.005,Alnus cordata
9,034.002.002,Alnus glutinosa
9,034.002.004,Alnus incana
